anio,Peru,Bolivia,Chile,Colombia,Ecuador,Mexico
2000,69.821,62.057,77.128,70.905,72.090,72.562
2001,70.315,62.538,77.580,71.185,72.571,72.912
2002,70.815,63.068,77.840,71.537,73.164,73.106
2003,71.278,63.455,77.884,72.309,73.632,73.308
2004,71.447,63.819,78.276,72.760,73.868,73.432
2005,71.988,64.182,78.459,73.156,73.909,73.627
2006,72.337,64.529,78.533,73.497,74.010,73.746
2007,72.746,64.939,78.652,73.751,74.226,73.796
2008,72.743,65.299,78.752,74.206,74.709,73.695
2009,72.631,65.656,78.890,74.531,74.901,73.628
2010,72.886,66.003,79.095,74.876,75.188,73.718
2011,73.327,66.282,79.236,75.180,75.179,73.921
2012,73.979,66.586,79.221,75.611,75.486,74.128
2013,74.591,66.777,79.551,75.834,75.832,74.289
2014,75.260,66.970,79.714,75.950,76.141,74.404
2015,75.732,67.205,80.008,76.067,76.222,74.431
2016,75.951,67.392,80.295,76.228,76.094,74.376
2017,75.958,67.536,80.610,76.418,76.220,74.261
2018,76.018,67.699,80.559,76.579,77.248,74.301
2019,76.275,67.820,80.324,76.793,77.286,74.530
2020,73.832,62.906,79.349,74.757,72.004,70.449
2021,71.596,61.427,78.876,72.698,72.746,69.750
2022,76.834,67.434,79.176,76.508,76.577,73.973
2023,77.740,68.581,81.167,77.725,77.392,75.069
2024,77.941,68.739,81.359,77.913,77.579,75.264
