anio,total,mujeres,hombres
1965,53.871,55.539,52.272
1966,54.400,56.078,52.794
1967,54.893,56.616,53.248
1968,55.384,57.186,53.671
1969,55.816,57.652,54.074
1970,47.728,48.354,47.116
1971,56.493,58.284,54.797
1972,56.989,58.740,55.331
1973,57.333,58.989,55.761
1974,57.769,59.374,56.243
1975,58.205,59.742,56.741
1976,58.570,60.067,57.143
1977,58.895,60.415,57.449
1978,59.261,60.874,57.732
1979,59.624,61.388,57.962
1980,59.982,61.853,58.224
1981,60.325,62.281,58.494
1982,60.559,62.619,58.636
1983,60.764,63.044,58.644
1984,61.066,63.586,58.727
1985,61.710,64.033,59.544
1986,62.154,64.473,59.992
1987,62.544,64.900,60.351
1988,62.995,65.373,60.779
1989,63.405,65.885,61.098
1990,63.979,66.359,61.757
1991,64.248,66.546,62.096
1992,65.031,67.295,62.901
1993,65.732,67.826,63.747
1994,66.544,68.399,64.766
1995,67.220,68.927,65.573
1996,67.850,69.445,66.306
1997,68.324,69.913,66.788
1998,68.724,70.372,67.136
1999,69.302,71.000,67.668
2000,69.821,71.558,68.148
2001,70.315,72.113,68.590
2002,70.815,72.748,68.977
2003,71.278,73.331,69.348
2004,71.447,73.674,69.383
2005,71.988,74.240,69.896
2006,72.337,74.611,70.225
2007,72.746,74.940,70.697
2008,72.743,75.070,70.597
2009,72.631,74.962,70.471
2010,72.886,75.234,70.704
2011,73.327,75.572,71.221
2012,73.979,76.278,71.822
2013,74.591,76.922,72.401
2014,75.260,77.576,73.070
2015,75.732,78.028,73.556
2016,75.951,78.209,73.803
2017,75.958,78.264,73.773
2018,76.018,78.259,73.890
2019,76.275,78.576,74.106
2020,73.832,77.976,70.397
2021,71.596,74.714,68.820
2022,76.834,78.726,74.964
2023,77.740,80.123,75.413
2024,77.941,80.300,75.629
