anio,Peru,Bolivia,Chile,Colombia,Ecuador,Mexico
2000,4.41,4.40,7.00,5.64,3.57,4.24
2001,4.72,4.83,7.10,5.94,4.06,4.58
2002,4.94,4.90,7.21,5.73,4.81,4.83
2003,4.59,5.20,7.25,5.78,5.79,5.54
2004,4.43,4.86,6.91,5.80,5.88,5.68
2005,4.67,5.07,6.62,6.07,5.86,5.58
2006,4.41,4.66,6.07,6.34,5.94,5.41
2007,4.43,4.70,6.21,6.49,5.56,5.51
2008,4.53,4.61,6.74,6.84,5.52,5.45
2009,4.96,5.17,7.25,7.31,6.03,5.85
2010,4.71,5.20,6.82,7.07,6.35,5.49
2011,4.52,5.17,6.80,6.78,6.61,5.30
2012,4.73,5.25,7.02,6.75,6.88,5.42
2013,4.71,5.57,7.48,7.02,6.78,5.58
2014,4.91,5.90,7.84,7.19,6.77,5.35
2015,4.90,6.55,8.35,7.52,7.77,5.53
2016,4.89,6.83,8.56,7.53,7.59,5.38
2017,4.81,6.49,9.09,7.68,7.52,5.31
2018,5.08,6.60,9.15,7.72,7.83,5.24
2019,5.13,6.89,9.31,7.83,7.81,5.30
2020,6.35,8.02,9.70,8.70,8.61,6.05
2021,6.67,8.16,9.72,9.14,8.38,5.88
2022,6.10,7.16,10.01,7.59,7.60,5.71
2023,5.64,6.92,10.17,8.16,7.56,5.50
