anio,Peru,Bolivia,Chile,Colombia,Ecuador,Mexico
2000,83.64,42.89,353.25,134.71,49.37,319.35
2001,89.37,44.88,323.63,138.48,72.79,364.40
2002,97.66,43.49,319.53,132.18,99.13,385.61
2003,97.35,46.41,346.16,129.72,134.13,411.83
2004,105.17,46.35,422.96,159.61,152.11,446.14
2005,123.25,51.76,495.56,209.68,170.44,483.98
2006,136.14,56.06,565.85,240.10,192.55,514.30
2007,158.55,63.62,643.06,309.62,193.33,558.07
2008,191.43,77.98,719.08,379.17,231.62,573.11
2009,209.20,89.58,730.63,383.92,244.58,492.60
2010,241.43,100.39,861.72,452.44,287.00,534.09
2011,264.46,119.78,984.45,501.84,340.41,565.32
2012,309.31,135.32,1070.51,547.01,387.55,582.48
2013,320.96,159.99,1171.77,580.96,414.13,625.60
2014,332.19,179.33,1138.66,588.29,433.42,609.82
2015,310.61,196.26,1122.13,470.10,464.22,553.91
2016,311.34,207.45,1167.89,448.85,449.04,489.92
2017,332.54,214.59,1353.69,497.54,469.05,512.55
2018,362.76,231.19,1430.70,526.12,493.83,528.26
2019,367.99,241.35,1349.00,507.06,484.54,549.73
2020,399.14,248.70,1270.98,464.42,470.20,535.12
2021,455.36,276.21,1576.69,568.84,507.65,606.13
2022,445.10,260.88,1541.38,507.07,495.30,650.97
2023,445.53,255.04,1736.52,571.15,509.49,760.99
