anio,crec_pib_pct,gasto_salud_pctpib_total,gasto_publico_salud_pctpib,pobreza_monetaria_pct,mortalidad_infantil_x1000,agua_potable_pct
1990,.,.,.,.,60.0,.
1991,.,.,.,.,57.0,.
1992,.,.,.,.,54.0,.
1993,.,.,.,.,50.9,.
1994,.,.,.,.,47.7,.
1995,7.41,.,.,.,44.4,.
1996,2.80,.,.,.,41.2,.
1997,6.48,.,.,.,38.1,.
1998,-0.39,.,.,.,35.2,.
1999,1.49,.,.,.,32.5,.
2000,2.69,4.41,2.34,48.4,30.1,45.00
2001,0.62,4.72,2.48,54.8,27.8,45.39
2002,5.45,4.94,2.52,54.3,25.9,45.77
2003,4.17,4.59,2.34,52.3,24.2,46.15
2004,4.96,4.43,2.30,58.7,22.7,46.53
2005,6.29,4.67,2.57,55.6,21.3,46.90
2006,7.53,4.41,2.22,49.2,20.1,47.27
2007,8.52,4.43,2.15,42.4,19.1,47.64
2008,9.13,4.53,2.18,37.3,18.1,47.95
2009,1.10,4.96,2.50,33.5,17.3,48.23
2010,8.33,4.71,2.44,30.8,16.5,48.52
2011,6.33,4.52,2.30,27.8,15.8,48.80
2012,6.14,4.73,2.48,25.8,15.2,49.08
2013,5.85,4.71,2.64,23.9,14.7,49.36
2014,2.38,4.91,2.94,22.7,14.2,49.64
2015,3.25,4.90,3.00,21.8,13.8,49.92
2016,3.95,4.89,3.04,20.7,13.4,50.19
2017,2.52,4.81,3.02,21.7,13.1,50.47
2018,3.97,5.08,3.15,20.5,12.8,50.75
2019,2.24,5.13,3.24,20.2,12.5,51.02
2020,-10.93,6.35,4.35,30.1,12.2,51.30
2021,13.36,6.67,4.46,25.9,11.9,51.58
2022,2.81,6.10,3.91,27.5,11.6,50.93
2023,-0.40,5.64,3.58,29.0,11.3,50.19
2024,3.30,.,.,27.6,11.0,49.43
