anio,medicos_Peru,medicos_Chile,medicos_Colombia,medicos_Ecuador,medicos_Mexico,camas_Peru,camas_Chile,camas_Colombia,camas_Ecuador,camas_Mexico,camas_Bolivia
2014,.,2.016,1.960,1.684,2.237,1.60,2.11,1.63,1.54,1.01,1.12
2015,.,2.138,2.022,1.806,2.340,1.60,2.13,1.65,1.52,1.00,1.18
2016,1.307,2.286,2.088,2.055,2.345,1.64,2.11,1.72,1.38,1.00,1.23
2017,.,2.430,2.163,2.225,2.409,1.63,2.09,1.74,1.40,0.99,1.26
2018,1.373,2.569,2.242,2.341,2.456,1.61,2.05,1.73,1.40,0.98,1.26
2019,1.354,2.627,2.317,2.320,2.460,1.60,2.02,1.75,1.39,0.96,1.28
2020,1.436,2.798,2.394,2.313,2.425,1.67,2.02,1.70,1.32,1.00,1.37
2021,1.673,2.979,2.467,.,2.541,1.63,1.98,.,1.31,1.01,1.37
2022,1.649,3.178,.,.,2.588,1.59,1.95,.,1.31,1.01,1.39
2023,1.688,3.334,2.535,.,.,1.56,1.94,.,1.32,.,1.49
